manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
tag:Kirchner06	doi:10.1016/j.visres.2005.10.002	doi:10.1016/j.visres.2005.10.002	QstYfgqz
tag:Muller18	doi:10.1038/nrn.2018.20	doi:10.1038/nrn.2018.20	9OxNsfYF
tag:deep-review	doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	PZMP42Ak
tag:Bressloff02	doi:10.1098/rstb.2000.0769	doi:10.1098/rstb.2000.0769	1FZ2hkaS5
tag:KhoeiMassonPerrinet17	doi:10.1371/journal.pcbi.1005068	doi:10.1371/journal.pcbi.1005068	1BSbXPPDF
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
tag:Adams12	doi:10.1371/journal.pone.0047502	doi:10.1371/journal.pone.0047502	hQTLOkzF
tag:Chemla19	doi:10.1523/JNEUROSCI.2792-18.2019	doi:10.1523/jneurosci.2792-18.2019	cAAUyqwj
tag:Friston12	doi:10.3389/fpsyg.2012.00151	doi:10.3389/fpsyg.2012.00151	pnsTp4JV
doi:10.7554/eLife.32822	doi:10.7554/eLife.32822	doi:10.7554/elife.32822	IhliSZDo
isbn:9780262517638	isbn:9780262517638	isbn:9780262517638	zBPP9YKu
pmcid:PMC6103790	pmcid:PMC6103790	pmcid:PMC6103790	PyydLU5l
pmid:30718888	pmid:30718888	pmid:30718888	7XVI5bB4
url:https://greenelab.github.io/meta-review	url:https://greenelab.github.io/meta-review	url:https://greenelab.github.io/meta-review	6acIRW4q
wikidata:Q56458321	wikidata:Q56458321	wikidata:Q56458321	QhC8yJ7V
